lower_speed,upper_speed,centerline,lower_lanes,upper_lanes,bike_lane,lower_bl_width,upper_bl_width,parking,freq_bl_blockage,lower_adt,upper_adt,func_class,blts_score
0,25,Yes,2,2,'Yes',15,999,'Yes',NA,,NA,NA,1
0,25,Yes,2,2,'Yes',14,14.5,'Yes',NA,,NA,NA,2
0,25,Yes,2,2,'Yes',0,13,'Yes',NA,,NA,NA,3
0,25,Yes,4,999,'Yes',15,999,'Yes',NA,,NA,NA,2
0,25,Yes,4,999,'Yes',0,14.5,'Yes',NA,,NA,NA,3
30,30,Yes,2,2,'Yes',15,999,'Yes',NA,,NA,NA,1
30,30,Yes,2,2,'Yes',14,14.5,'Yes',NA,,NA,NA,2
30,30,Yes,2,2,'Yes',0,13,'Yes',NA,,NA,NA,3
30,30,Yes,4,999,'Yes',15,999,'Yes',NA,,NA,NA,2
30,30,Yes,4,999,'Yes',0,14.5,'Yes',NA,,NA,NA,3
35,35,Yes,2,2,'Yes',15,999,'Yes',NA,,NA,NA,2
35,35,Yes,2,2,'Yes',14,14.5,'Yes',NA,,NA,NA,3
35,35,Yes,2,2,'Yes',0,13,'Yes',NA,,NA,NA,3
35,35,Yes,4,999,'Yes',15,999,'Yes',NA,,NA,NA,3
35,35,Yes,4,999,'Yes',0,14.5,'Yes',NA,,NA,NA,3
40,999,Yes,2,2,'Yes',15,999,'Yes',NA,,NA,NA,2
40,999,Yes,2,2,'Yes',14,14.5,'Yes',NA,,NA,NA,4
40,999,Yes,2,2,'Yes',0,13,'Yes',NA,,NA,NA,4
40,999,Yes,4,999,'Yes',15,999,'Yes',NA,,NA,NA,3
40,999,Yes,4,999,'Yes',0,14.5,'Yes',NA,,NA,NA,4
0,30,Yes,2,2,'Yes',7,999,'No','No',,NA,NA,1
0,30,Yes,2,2,'Yes',5.5,6.5,'No','No',,NA,NA,1
0,30,Yes,2,2,'Yes',0,5,'No','No',,NA,NA,2
0,30,Yes,2,2,'Yes',0,999,'No','Yes',,NA,NA,3
0,30,Yes,4,999,'Yes',7,999,'No','No',,NA,NA,1
0,30,Yes,4,999,'Yes',0,6.5,'No','No',,NA,NA,3
35,35,Yes,2,2,'Yes',7,999,'No','No',,NA,NA,2
35,35,Yes,2,2,'Yes',5.5,6.5,'No','No',,NA,NA,3
35,35,Yes,2,2,'Yes',0,5,'No','No',,NA,NA,3
35,35,Yes,2,2,'Yes',0,999,'No','Yes',,NA,NA,3
35,35,Yes,4,999,'Yes',7,999,'No','No',,NA,NA,2
35,35,Yes,4,999,'Yes',0,6.5,'No','No',,NA,NA,4
40,999,Yes,2,2,'Yes',7,999,'No','No',,NA,NA,3
40,999,Yes,2,2,'Yes',5.5,6.5,'No','No',,NA,NA,4
40,999,Yes,2,2,'Yes',0,5,'No','No',,NA,NA,4
40,999,Yes,2,2,'Yes',0,999,'No','Yes',,NA,NA,4
40,999,Yes,4,999,'Yes',7,999,'No','No',,NA,NA,3
